wl,n
0.4679,1.000301149189
0.4838,1.0003006576234
0.4997,1.0003002140213
0.5156,1.0002998122907
0.5315,1.0002994472838
0.5474,1.0002991146256
0.5633,1.000298810578
0.5793,1.0002985302527
0.5952,1.000298274371
0.6111,1.0002980387061
0.6270,1.0002978211714
0.6429,1.0002976199442
0.6588,1.0002974334262
0.6747,1.000297260211
0.6906,1.0002970990574
0.7065,1.000296948866
0.7224,1.0002968086606
0.7383,1.0002966775716
0.7542,1.0002965548223
0.7702,1.0002964390164
0.7861,1.0002963309743
0.8020,1.0002962293878
0.8179,1.0002961337508
0.8338,1.0002960436064
0.8497,1.0002959585405
0.8656,1.0002958781775
0.8815,1.0002958021762
0.8974,1.0002957302255
0.9133,1.0002956620419
0.9292,1.0002955973664
0.9451,1.0002955359616
0.9610,1.0002954776102
0.9770,1.0002954217722
0.9929,1.000295368961
1.009,1.0002953180326
1.025,1.0002952698005
1.041,1.0002952237943
1.056,1.0002951825647
1.072,1.0002951404957
1.088,1.0002951002836
1.104,1.0002950618205
1.120,1.0002950250062
1.136,1.0002949897477
1.152,1.0002949559584
1.168,1.0002949235577
1.184,1.0002948924703
1.200,1.0002948626261
1.216,1.0002948339596
1.231,1.0002948080999
1.247,1.0002947815444
1.263,1.0002947559977
1.279,1.0002947314091
1.295,1.0002947077313
1.311,1.0002946849199
1.327,1.0002946629329
1.343,1.0002946417312
1.359,1.0002946212776
1.375,1.0002946015374
1.391,1.0002945824778
1.406,1.0002945651999
1.422,1.0002945473722
1.438,1.0002945301389
1.454,1.000294513474
1.470,1.0002944973525
1.486,1.0002944817512
1.502,1.0002944666479
1.518,1.0002944520215
1.534,1.0002944378522
1.550,1.0002944241212
1.566,1.0002944108104
1.581,1.0002943986982
1.597,1.0002943861542
1.613,1.000294373983
1.629,1.0002943621699
1.645,1.000294350701
1.661,1.0002943395631
1.677,1.0002943287434
1.693,1.0002943182301
1.709,1.0002943080116
1.725,1.0002942980771
1.741,1.000294288416
1.756,1.0002942795982
1.772,1.000294270439
1.788,1.0002942615254
1.804,1.0002942528485
1.820,1.0002942444001
1.836,1.0002942361722
1.852,1.0002942281572
1.868,1.0002942203479
1.884,1.0002942127371
1.900,1.0002942053184
1.916,1.0002941980851
1.931,1.0002941914671
1.947,1.0002941845761
1.963,1.0002941778533
1.979,1.0002941712934
1.995,1.000294164891
2.011,1.0002941586411
2.027,1.000294152539
2.043,1.0002941465801
2.059,1.0002941407598
